metabolite_name	rt	mz
Broad_HP_mz564.2952_rt1.7	1.7	564.295218699999
Broad_HP_mz612.5195_rt1.68	1.68	612.519543
Broad_HP_mz702.4785_rt1.7	1.7	702.478474499999
Broad_HP_mz714.5148_rt1.69	1.69	714.514761199999
Broad_HP_mz450.2425_rt1.7	1.7	450.242503399999
Broad_HP_mz658.4885_rt1.7	1.7	658.4885087
Broad_HP_mz688.5354_rt1.69	1.69	688.5354343
Broad_HP_mz361.2219_rt1.7	1.7	361.2218843
Broad_HP_mz368.2946_rt1.71	1.71	368.2945606
Broad_HP_mz426.3366_rt1.72	1.72	426.3365731
Broad_HP_mz450.204_rt1.71	1.71	450.2039884
Broad_HP_mz460.4145_rt1.71	1.71	460.414475799999
Broad_HP_mz504.3892_rt1.71	1.71	504.389178
Broad_HP_mz518.4049_rt1.7	1.7	518.404873599999
Broad_HP_mz590.499_rt1.73	1.73	590.4989844
Broad_HP_mz660.5042_rt1.72	1.72	660.504163999999
Broad_HP_mz664.5354_rt1.71	1.71	664.5353979
Broad_HP_mz170.0963_rt1.73	1.73	170.0962567
Broad_HP_mz343.1539_rt1.72	1.72	343.153862
Broad_HP_mz586.3372_rt1.73	1.73	586.337248599999
Broad_HP_mz628.4777_rt1.62	1.62	628.477691499999
Broad_HP_mz347.2425_rt1.73	1.73	347.2424747
Broad_HP_mz441.3208_rt1.73	1.73	441.3208473
Broad_HP_mz560.4154_rt1.72	1.72	560.4154273
Broad_HP_mz572.3792_rt1.73	1.73	572.379160299999
Broad_HP_mz149.0596_rt1.77	1.77	149.0595668
Broad_HP_mz279.2317_rt1.72	1.72	279.2316968
Broad_HP_mz295.2266_rt1.81	1.81	295.2265879
Broad_HP_mz297.2422_rt1.75	1.75	297.2422412
Broad_HP_mz531.4075_rt1.73	1.73	531.407475299999
Broad_HP_mz546.2697_rt1.74	1.74	546.2696567
Broad_HP_mz546.3636_rt1.86	1.86	546.363634899999
Broad_HP_mz558.3997_rt1.68	1.68	558.3996578
Broad_HP_mz342.2426_rt1.77	1.77	342.2425936
Broad_HP_mz463.378_rt1.7	1.7	463.3779619
Broad_HP_mz594.1605_rt1.75	1.75	594.1604585
Broad_HP_mz646.4885_rt1.73	1.73	646.488549899999
Broad_HP_mz457.2768_rt1.78	1.78	457.276844299999
Broad_HP_mz223.9882_rt1.77	1.77	223.9882061
Broad_HP_mz371.358_rt1.77	1.77	371.357971
Broad_HP_mz480.3893_rt1.85	1.85	480.3892733
Broad_HP_mz604.3691_rt1.74	1.74	604.3691043
Broad_HP_mz708.5619_rt1.8	1.8	708.5618855
Broad_HP_mz315.1953_rt1.77	1.77	315.195275299999
Broad_HP_mz409.3308_rt1.79	1.79	409.330779199999
Broad_HP_mz674.6443_rt1.79	1.79	674.6443116
Broad_HP_mz293.211_rt1.81	1.81	293.210962499999
Broad_HP_mz365.2077_rt1.8	1.8	365.207732599999
Broad_HP_mz460.3995_rt1.8	1.8	460.3994968
Broad_HP_mz466.3736_rt1.84	1.84	466.373596
Broad_HP_mz255.1953_rt1.81	1.81	255.195263899999
Broad_HP_mz277.128_rt1.81	1.81	277.128002299999
Broad_HP_mz280.2634_rt1.8	1.8	280.2633541
Broad_HP_mz522.2379_rt1.83	1.83	522.2378584
Broad_HP_mz532.254_rt1.81	1.81	532.2540149
Broad_HP_mz283.1902_rt1.82	1.82	283.1902321
Broad_HP_mz285.2059_rt1.84	1.84	285.2058963
Broad_HP_mz302.2324_rt1.84	1.84	302.2323938
Broad_HP_mz369.2633_rt1.83	1.83	369.2633099
Broad_HP_mz606.3482_rt1.81	1.81	606.3481609
Broad_HP_mz316.2117_rt1.87	1.87	316.211665999999
Broad_HP_mz478.404_rt1.84	1.84	478.404017099999
Broad_HP_mz518.4414_rt1.83	1.83	518.441382299999
Broad_HP_mz107.07_rt1.84	1.84	107.0700431
Broad_HP_mz277.216_rt1.82	1.82	277.2160122
Broad_HP_mz286.2012_rt1.85	1.85	286.2011663
Broad_HP_mz306.1909_rt1.85	1.85	306.1909491
Broad_HP_mz388.269_rt1.85	1.85	388.2690435
Broad_HP_mz404.2639_rt1.85	1.85	404.263905599999
Broad_HP_mz418.2433_rt1.84	1.84	418.243288399999
Broad_HP_mz418.2796_rt1.86	1.86	418.279612199999
Broad_HP_mz576.3744_rt1.86	1.86	576.3743805
Broad_HP_mz195.1378_rt1.85	1.85	195.137772299999
Broad_HP_mz227.1641_rt1.87	1.87	227.164087599999
Broad_HP_mz243.1589_rt1.85	1.85	243.1588763
Broad_HP_mz267.1718_rt1.86	1.86	267.1718104
Broad_HP_mz267.2317_rt1.85	1.85	267.2316806
Broad_HP_mz299.1851_rt1.86	1.86	299.185126
Broad_HP_mz358.2223_rt1.86	1.86	358.222253
Broad_HP_mz360.2015_rt1.87	1.87	360.201499099999
Broad_HP_mz362.2171_rt1.86	1.86	362.217081399999
Broad_HP_mz400.2691_rt1.85	1.85	400.2690958
Broad_HP_mz564.3013_rt1.84	1.84	564.301260699999
Broad_HP_mz97.0646_rt1.87	1.87	97.0645663699999
Broad_HP_mz113.0595_rt1.87	1.87	113.059478799999
Broad_HP_mz269.211_rt1.84	1.84	269.2109659
Broad_HP_mz279.2317_rt1.87	1.87	279.2317322
Broad_HP_mz289.2736_rt1.84	1.84	289.273555699999
Broad_HP_mz290.196_rt1.87	1.87	290.196048099999
Broad_HP_mz293.1681_rt1.87	1.87	293.168061599999
Broad_HP_mz308.2066_rt1.87	1.87	308.2065921
Broad_HP_mz311.1851_rt1.87	1.87	311.185102299999
Broad_HP_mz318.1909_rt1.87	1.87	318.190912299999
Broad_HP_mz362.1807_rt1.87	1.87	362.1807281
Broad_HP_mz372.347_rt1.87	1.87	372.346971999999
Broad_HP_mz374.3626_rt1.86	1.86	374.362596699999
Broad_HP_mz390.212_rt1.86	1.86	390.2119768
Broad_HP_mz399.3102_rt1.87	1.87	399.3102215
Broad_HP_mz504.4256_rt1.87	1.87	504.4256378
Broad_HP_mz506.4414_rt1.87	1.87	506.441364599999
Broad_HP_mz644.5973_rt1.85	1.85	644.5972794
Broad_HP_mz165.0479_rt1.87	1.87	165.047935099999
Broad_HP_mz227.1276_rt1.94	1.94	227.127587
Broad_HP_mz255.1589_rt1.87	1.87	255.1589044
Broad_HP_mz267.1589_rt1.77	1.77	267.158871499999
Broad_HP_mz276.144_rt1.87	1.87	276.1440154
Broad_HP_mz300.1804_rt1.87	1.87	300.1803853
Broad_HP_mz360.2378_rt1.87	1.87	360.237849499999
Broad_HP_mz392.2276_rt1.87	1.87	392.2275923
Broad_HP_mz417.3208_rt1.87	1.87	417.3208167
Broad_HP_mz422.2382_rt1.88	1.88	422.238189299999
Broad_HP_mz450.2785_rt1.87	1.87	450.2784967
Broad_HP_mz244.1541_rt1.87	1.87	244.1541129
Broad_HP_mz415.3568_rt1.87	1.87	415.3567658
Broad_HP_mz641.2602_rt1.87	1.87	641.260230699999
Broad_HP_mz123.0803_rt1.87	1.87	123.0802512
Broad_HP_mz239.164_rt1.87	1.87	239.1639715
Broad_HP_mz364.3419_rt1.9	1.9	364.341922099999
Broad_HP_mz562.4675_rt1.9	1.9	562.4674939
Broad_HP_mz611.2496_rt1.88	1.88	611.2496392
Broad_HP_mz151.0963_rt1.91	1.91	151.096344399999
Broad_HP_mz357.2998_rt1.87	1.87	357.299778
Broad_HP_mz376.2327_rt1.91	1.91	376.232650999999
Broad_HP_mz399.2503_rt1.91	1.91	399.2502597
Broad_HP_mz406.2069_rt1.85	1.85	406.2068689
Broad_HP_mz528.2702_rt1.91	1.91	528.270212099999
Broad_HP_mz352.3571_rt1.82	1.82	352.357100199999
Broad_HP_mz453.167_rt1.92	1.92	453.167035699999
Broad_HP_mz666.3327_rt1.92	1.92	666.332677399999
Broad_HP_mz340.3569_rt1.92	1.92	340.356871399999
Broad_HP_mz752.5455_rt1.92	1.92	752.5455298
Broad_HP_mz370.2949_rt1.94	1.94	370.2948864
Broad_HP_mz418.3887_rt1.95	1.95	418.3887358
Broad_HP_mz450.2331_rt1.95	1.95	450.233080799999
Broad_HP_mz134.0711_rt1.95	1.95	134.0711321
Broad_HP_mz267.1225_rt1.95	1.95	267.1225276
Broad_HP_mz290.1596_rt1.94	1.94	290.1596187
Broad_HP_mz296.2945_rt1.96	1.96	296.2945073
Broad_HP_mz298.3103_rt1.95	1.95	298.310327599999
Broad_HP_mz310.3102_rt1.96	1.96	310.310218099999
Broad_HP_mz312.1592_rt1.97	1.97	312.1592094
Broad_HP_mz312.3259_rt1.92	1.92	312.325891099999
Broad_HP_mz382.3676_rt1.95	1.95	382.3675521
Broad_HP_mz416.373_rt1.96	1.96	416.3730471
Broad_HP_mz671.6446_rt1.95	1.95	671.644622099999
Broad_HP_mz593.5981_rt1.97	1.97	593.5980517
Broad_HP_mz619.6132_rt1.97	1.97	619.6131672
