sample_id	sample_type	sample_order	raw_file	extraction_date	acquisition_date	lc_column_id
12824041003	Sample	994	B0827_MoTrPAC_Tranche4_HumanMuscle_HP-12824041003.raw	2025-04-03	2025-04-07	186002015_01143426718806
12806021003	Sample	995	B0831a_RI_B0828_MoTrPAC_Tranche4_HumanMuscle_HP-12806021003.raw	2025-04-03	2025-04-07	186002015_01143426718806
12806011003	Sample	996	B0831b_RI_B0829_MoTrPAC_Tranche4_HumanMuscle_HP-12806011003.raw	2025-04-03	2025-04-07	186002015_01143426718806
12333041003	Sample	997	B0831c_RI_B0830_MoTrPAC_Tranche4_HumanMuscle_HP-12333041003.raw	2025-04-03	2025-04-07	186002015_01143426718806
12333011003	Sample	998	B0831d_RI_B0831_MoTrPAC_Tranche4_HumanMuscle_HP-12333011003.raw	2025-04-03	2025-04-07	186002015_01143426718806
13201011003	Sample	1003	B0832_MoTrPAC_Tranche4_HumanMuscle_HP-13201011003.raw	2025-04-03	2025-04-08	186002015_01143426718806
QC_PREFA42a	QC-DriftCorrection	1012	B0836a_RI_B0820a_MoTrPAC_Tranche4_HumanMuscle_HP-PREFA42a.raw	2025-04-03	2025-04-08	186002015_01143426017404
QC_PREFB42a	QC-Pooled	1013	B0836b_RI_B0820b_MoTrPAC_Tranche4_HumanMuscle_HP-PREFB42a.raw	2025-04-03	2025-04-08	186002015_01143426017404
12930041003	Sample	1004	B0836c_RI_B0833_MoTrPAC_Tranche4_HumanMuscle_HP-12930041003.raw	2025-04-03	2025-04-08	186002015_01143426718806
12930011003	Sample	1005	B0833d_RI_B0834_MoTrPAC_Tranche4_HumanMuscle_HP-12930011003.raw	2025-04-03	2025-04-08	186002015_01143426718806
12930031003	Sample	1006	B0833e_RI_B0835_MoTrPAC_Tranche4_HumanMuscle_HP-12930031003.raw	2025-04-03	2025-04-08	186002015_01143426718806
12930021003	Sample	1007	B0833f_RI_B0836_MoTrPAC_Tranche4_HumanMuscle_HP-12930021003.raw	2025-04-03	2025-04-08	186002015_01143426718806
11447021003	Sample	1018	B0837_MoTrPAC_Tranche4_HumanMuscle_HP-11447021003.raw	2025-04-03	2025-04-08	186002015_01143426017404
11447011003	Sample	1019	B0838_MoTrPAC_Tranche4_HumanMuscle_HP-11447011003.raw	2025-04-03	2025-04-08	186002015_01143426017404
11447041003	Sample	1020	B0839_MoTrPAC_Tranche4_HumanMuscle_HP-11447041003.raw	2025-04-03	2025-04-08	186002015_01143426017404
11447031003	Sample	1021	B0840_MoTrPAC_Tranche4_HumanMuscle_HP-11447031003.raw	2025-04-03	2025-04-08	186002015_01143426017404
QC_PREFA43	QC-DriftCorrection	1022	B0840a_MoTrPAC_Tranche4_HumanMuscle_HP-PREFA43.raw	2025-03-13	2025-04-08	186002015_01143426017404
QC_PREFB43	QC-Pooled	1023	B0840b_MoTrPAC_Tranche4_HumanMuscle_HP-PREFB43.raw	2025-03-13	2025-04-08	186002015_01143426017404
12553031003	Sample	1024	B0841_MoTrPAC_Tranche4_HumanMuscle_HP-12553031003.raw	2025-04-03	2025-04-08	186002015_01143426017404
12553011003	Sample	1025	B0842_MoTrPAC_Tranche4_HumanMuscle_HP-12553011003.raw	2025-04-03	2025-04-08	186002015_01143426017404
12553021003	Sample	1026	B0843_MoTrPAC_Tranche4_HumanMuscle_HP-12553021003.raw	2025-04-03	2025-04-09	186002015_01143426017404
12553041003	Sample	1027	B0844_MoTrPAC_Tranche4_HumanMuscle_HP-12553041003.raw	2025-04-03	2025-04-09	186002015_01143426017404
12496011003	Sample	1028	B0845_MoTrPAC_Tranche4_HumanMuscle_HP-12496011003.raw	2025-04-03	2025-04-09	186002015_01143426017404
12937011003	Sample	1029	B0846_MoTrPAC_Tranche4_HumanMuscle_HP-12937011003.raw	2025-04-03	2025-04-09	186002015_01143426017404
12250021003	Sample	1030	B0847_MoTrPAC_Tranche4_HumanMuscle_HP-12250021003.raw	2025-04-03	2025-04-09	186002015_01143426017404
13558011003	Sample	1031	B0848_MoTrPAC_Tranche4_HumanMuscle_HP-13558011003.raw	2025-04-03	2025-04-09	186002015_01143426017404
13558031003	Sample	1032	B0849_MoTrPAC_Tranche4_HumanMuscle_HP-13558031003.raw	2025-04-03	2025-04-09	186002015_01143426017404
13491031003	Sample	1033	B0850_MoTrPAC_Tranche4_HumanMuscle_HP-13491031003.raw	2025-04-03	2025-04-09	186002015_01143426017404
13491021003	Sample	1034	B0851_MoTrPAC_Tranche4_HumanMuscle_HP-13491021003.raw	2025-04-03	2025-04-09	186002015_01143426017404
13491011003	Sample	1035	B0852_MoTrPAC_Tranche4_HumanMuscle_HP-13491011003.raw	2025-04-03	2025-04-09	186002015_01143426017404
12271011003	Sample	1036	B0853_MoTrPAC_Tranche4_HumanMuscle_HP-12271011003.raw	2025-04-03	2025-04-09	186002015_01143426017404
12271041003	Sample	1037	B0854_MoTrPAC_Tranche4_HumanMuscle_HP-12271041003.raw	2025-04-03	2025-04-09	186002015_01143426017404
QC_PREFA44	QC-DriftCorrection	1038	B0854a_MoTrPAC_Tranche4_HumanMuscle_HP-PREFA44.raw	2025-03-13	2025-04-09	186002015_01143426017404
QC_PREFB44	QC-Pooled	1039	B0854b_MoTrPAC_Tranche4_HumanMuscle_HP-PREFB44.raw	2025-03-13	2025-04-09	186002015_01143426017404
